Phase,Area,Task_ID,Task_Name,Description
3,BA,P3BA2,Google OAuth API (Real),Google OAuth → Supabase Auth 실제 연동
3,BA,P3BA3,로그인 API (Real),Supabase Auth 실제 로그인
3,BA,P3BA4,비밀번호 재설정 API (Real),Supabase Auth 실제 비밀번호 재설정
3,BA,P3BA5,토큰 갱신 API (Real),Supabase Auth 실제 토큰 갱신
3,BA,P3BA6,로그아웃 API (Real),Supabase Auth 실제 로그아웃
3,BA,P3BA7,정치인 목록 API (Real),politicians 테이블 실제 조회 (필터링/정렬)
3,BA,P3BA8,정치인 상세 API (Real),politicians + careers + pledges JOIN 조회
3,BA,P3BA9,정치인 관심 등록 API (Real),user_favorites 테이블 INSERT/DELETE
3,BA,P3BA10,정치인 본인 인증 API (Real),politician_verification 실제 처리
3,BA,P3BA11,AI 평가 조회 API (Real),ai_evaluations 테이블 실제 조회
3,BA,P3BA12,AI 평가 생성 API (Real),OpenAI API 호출 + ai_evaluations 저장
3,BA,P3BA13,게시글 목록 API (Real),posts 테이블 실제 조회 (페이지네이션)
3,BA,P3BA14,게시글 상세 API (Real),posts 상세 실제 조회
3,BA,P3BA15,게시글 작성 API (Real),posts 테이블 실제 INSERT
3,BA,P3BA16,댓글 작성 API (Real),comments 테이블 실제 INSERT
3,BA,P3BA17,좋아요 API (Real),post_likes + comment_likes 실제 처리
3,BA,P3BA18,공유 API (Real),shares 테이블 실제 처리
3,BA,P3BA19,팔로우 API (Real),follows 테이블 실제 처리
3,BA,P3BA20,알림 조회 API (Real),notifications 테이블 실제 조회
3,BA,P3BA21,관리자 통계 API (Real),실제 집계 쿼리 (사용자/게시글 통계)
3,BA,P3BA22,사용자 관리 API (Real),users 관리 실제 처리 (차단/활성화)
3,BA,P3BA23,콘텐츠 신고 API (Real),reports 테이블 실제 처리
4,BA,P4BA1,선관위 크롤링 스크립트,선관위 사이트에서 정치인 데이터 크롤링
4,BA,P4BA2,정치인 데이터 시딩,초기 정치인 데이터 DB 삽입
4,BA,P4BA3,이미지 업로드 헬퍼,Supabase Storage 이미지 업로드 유틸
4,BA,P4BA4,파일 업로드 헬퍼,게시글 첨부파일 업로드 처리
4,BA,P4BA5,욕설 필터,욕설 감지 및 필터링 유틸
4,BA,P4BA6,알림 생성 헬퍼,알림 자동 생성 유틸
4,BA,P4BA7,자동 중재 시스템 API,AI 기반 신고 콘텐츠 자동 판정 및 처리
4,BA,P4BA8,감사 로그 API,모든 관리자 액션 기록 및 조회
4,BA,P4BA9,광고 관리 API,광고 등록/수정/삭제 및 통계
4,BA,P4BA10,정책 관리 API,이용약관/개인정보처리방침 등 관리
4,BA,P4BA11,알림 설정 API,전역 알림 설정 및 템플릿 관리
4,BA,P4BA12,시스템 설정 API,전역 시스템 설정 및 기능 토글
4,BA,P4BA13,관리자 액션 로그 API,관리자 활동 추적 및 통계
4,O,P4O1,크롤링 스케줄러,정치인 데이터 자동 업데이트 (Cron)
4,O,P4O2,인기 게시글 집계 스케줄러,인기 게시글 순위 자동 계산 (Cron)
4,O,P4O3,등급 재계산 스케줄러,사용자 등급 자동 재계산 (Cron)
5,T,P5T1,Unit Tests,컴포넌트 + API 유틸 + 함수 유닛 테스트 (Jest)
5,T,P5T2,E2E Tests,사용자 시나리오 E2E 테스트 (Playwright)
5,T,P5T3,Integration Tests,API + DB 통합 테스트
6,O,P6O1,CI/CD 파이프라인,GitHub Actions 자동 빌드/배포
6,O,P6O2,Vercel 배포 설정,Vercel 프로덕션 배포 설정
6,O,P6O3,모니터링 설정,Sentry 에러 추적 + Google Analytics
6,O,P6O4,보안 설정,Rate Limiting + CORS + CSP 설정
